,id,title,rating,genre,year
0,tt7737786,Greenland,6.4,"Action, Adventure, Thriller",2020
1,tt6723592,Tenet,7.3,"Action, Sci-Fi, Thriller",2020
2,tt7846844,Enola Holmes,6.6,"Adventure, Crime, Drama",2020
3,tt10314450,Becky,6.1,"Action, Crime, Drama",2020
4,tt9620292,Promising Young Woman,7.5,"Crime, Drama, Mystery",2020
5,tt10272386,The Father,8.2,"Drama, Mystery",2020
6,tt8503618,Hamilton,8.3,"Biography, Drama, History",2020
7,tt7939766,I'm Thinking of Ending Things,6.5,"Drama, Thriller",2020
8,tt9484998,Palm Springs,7.4,"Comedy, Fantasy, Mystery",2020
9,tt6048922,Greyhound,7.0,"Drama, History, War",2020
10,tt9770150,Nomadland,7.3,Drama,2020
11,tt8368512,The Courier,7.2,"Drama, History, Mystery",2020
12,tt7395114,The Devil All the Time,7.1,"Crime, Drama, Thriller",2020
13,tt8244784,The Hunt,6.6,"Action, Horror, Thriller",2020
14,tt10288566,Another Round,7.7,"Comedy, Drama",2020
15,tt2948372,Soul,8.0,"Animation, Adventure, Comedy",2020
16,tt9214832,Emma.,6.7,"Comedy, Drama, Romance",2020
17,tt8332922,A Quiet Place Part II,7.2,"Drama, Horror, Sci-Fi",2020
18,tt7638348,Boss Level,6.8,"Action, Adventure, Comedy",2020
19,tt8936646,Extraction,6.8,"Action, Crime, Thriller",2020
20,tt1051906,The Invisible Man,7.1,"Drama, Horror, Mystery",2020
21,tt8633478,Run,6.7,"Drama, Horror, Mystery",2020
22,tt5867314,The Empty Man,6.2,"Drama, Horror, Mystery",2020
23,tt10059518,Unhinged,6.0,"Action, Thriller",2020
24,tt3794354,Sonic the Hedgehog,6.5,"Action, Adventure, Comedy",2020
25,tt1160419,Dune: Part One,8.0,"Action, Adventure, Drama",2021
26,tt11235772,The Voyeurs,6.1,"Drama, Mystery, Romance",2021
27,tt10872600,Spider-Man: No Way Home,8.2,"Action, Adventure, Fantasy",2021
28,tt10370710,The Worst Person in the World,7.7,"Comedy, Drama, Romance",2021
29,tt11286314,Don't Look Up,7.1,"Comedy, Drama, Sci-Fi",2021
30,tt6264654,Free Guy,7.1,"Action, Adventure, Comedy",2021
31,tt2382320,No Time to Die,7.3,"Action, Adventure, Thriller",2021
32,tt11083552,Wrath of Man,7.1,"Action, Crime, Thriller",2021
33,tt7888964,Nobody,7.4,"Action, Crime, Drama",2021
34,tt9777666,The Tomorrow War,6.6,"Action, Adventure, Drama",2021
35,tt7144666,The Black Phone,6.9,"Horror, Mystery, Thriller",2021
36,tt10366460,CODA,8.0,"Comedy, Drama, Music",2021
37,tt9032400,Eternals,6.2,"Action, Adventure, Fantasy",2021
38,tt11271038,Licorice Pizza,7.1,"Comedy, Drama, Romance",2021
39,tt1879016,Operation Mincemeat,6.6,"Drama, War",2021
40,tt4513678,Ghostbusters: Afterlife,7.0,"Adventure, Comedy, Fantasy",2021
41,tt9421570,The Guilty,6.3,"Crime, Drama, Thriller",2021
42,tt4244994,The Last Duel,7.3,"Drama, History, Thriller",2021
43,tt6334354,The Suicide Squad,7.2,"Action, Adventure, Comedy",2021
44,tt9376612,Shang-Chi and the Legend of the Ten Rings,7.3,"Action, Adventure, Fantasy",2021
45,tt3228774,Cruella,7.3,"Adventure, Comedy, Crime",2021
46,tt6566576,Fear Street: Part One - 1994,6.2,"Drama, Horror, Mystery",2021
47,tt8847712,The French Dispatch,7.1,"Comedy, Drama, Romance",2021
48,tt7991608,Red Notice,6.3,"Action, Comedy, Thriller",2021
49,tt12361974,Zack Snyder's Justice League,7.9,"Action, Adventure, Fantasy",2021
50,tt1630029,Avatar: The Way of Water,7.5,"Action, Adventure, Fantasy",2022
51,tt1745960,Top Gun: Maverick,8.2,"Action, Drama",2022
52,tt11564570,Glass Onion,7.1,"Comedy, Crime, Drama",2022
53,tt1877830,The Batman,7.8,"Action, Crime, Drama",2022
54,tt14846026,Sisu,6.9,"Action, Thriller, War",2022
55,tt13560574,X,6.5,"Horror, Mystery, Thriller",2022
56,tt12593682,Bullet Train,7.3,"Action, Comedy, Thriller",2022
57,tt9764362,The Menu,7.2,"Comedy, Horror, Thriller",2022
58,tt18925334,Pearl,7.0,"Drama, Horror, Thriller",2022
59,tt6710474,Everything Everywhere All at Once,7.7,"Action, Adventure, Comedy",2022
60,tt11138512,The Northman,7.0,"Action, Adventure, Drama",2022
61,tt11866324,Prey,7.1,"Action, Adventure, Horror",2022
62,tt13833688,The Whale,7.6,Drama,2022
63,tt15791034,Barbarian,7.0,"Horror, Mystery, Thriller",2022
64,tt1649418,The Gray Man,6.5,"Action, Mystery, Thriller",2022
65,tt1464335,Uncharted,6.3,"Action, Adventure",2022
66,tt11813216,The Banshees of Inisherin,7.7,"Comedy, Drama",2022
67,tt10640346,Babylon,7.1,"Comedy, Drama",2022
68,tt8115900,The Bad Guys,6.9,"Animation, Adventure, Comedy",2022
69,tt1016150,All Quiet on the Western Front,7.8,"Drama, History, War",2022
70,tt19770238,Aftersun,7.6,Drama,2022
71,tt10638522,Talk to Me,7.1,"Horror, Thriller",2022
72,tt12477480,Decision to Leave,7.3,"Crime, Drama, Mystery",2022
73,tt9411972,Where the Crawdads Sing,7.2,"Drama, Mystery, Romance",2022
74,tt3704428,Elvis,7.3,"Biography, Drama, Music",2022
75,tt15398776,Oppenheimer,8.3,"Biography, Drama, History",2023
76,tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,6.6,"Action, Adventure, Drama",2023
77,tt14230458,Poor Things,7.8,"Comedy, Drama, Romance",2023
78,tt5537002,Killers of the Flower Moon,7.5,"Crime, Drama, History",2023
79,tt9362722,Spider-Man: Across the Spider-Verse,8.5,"Animation, Action, Adventure",2023
80,tt14849194,The Holdovers,7.9,"Comedy, Drama",2023
81,tt22041854,Priscilla,6.5,"Biography, Drama, Music",2023
82,tt26047818,Anyone But You,6.1,"Comedy, Romance",2023
83,tt4873118,The Covenant,7.5,"Action, Drama, Thriller",2023
84,tt10366206,John Wick: Chapter 4,7.6,"Action, Crime, Thriller",2023
85,tt20215968,Hit Man,6.8,"Comedy, Crime, Romance",2023
86,tt6718170,The Super Mario Bros. Movie,7.0,"Animation, Adventure, Comedy",2023
87,tt23849204,12th Fail,8.7,"Biography, Drama",2023
88,tt17351924,Saltburn,7.0,"Drama, Thriller",2023
89,tt1517268,Barbie,6.8,"Adventure, Comedy, Fantasy",2023
90,tt16431870,The Family Plan,6.3,"Action, Comedy",2023
91,tt6166392,Wonka,6.9,"Adventure, Comedy, Family",2023
92,tt17009710,Anatomy of a Fall,7.6,"Crime, Drama, Mystery",2023
93,tt23289160,Godzilla Minus One,7.7,"Action, Adventure, Drama",2023
94,tt9603212,Mission: Impossible - Dead Reckoning Part One,7.6,"Action, Adventure, Thriller",2023
95,tt15671028,No Hard Feelings,6.3,"Comedy, Romance",2023
96,tt1136617,The Killer,6.7,"Action, Adventure, Crime",2023
97,tt6791350,Guardians of the Galaxy Vol. 3,7.9,"Action, Adventure, Comedy",2023
